Id,days_logged,total_steps,average_steps,total_distance,sedentary_minutes,lightly_active_minutes,fairly_active_minutes,very_active_minutes
8877689391,31,497241,16040.03,409.6,34499,7276,308,2048
8053475328,31,457662,14763.29,355.73,35588,4680,297,2640
1503960366,31,375619,12116.74,242.1,26293,6818,594,1200
2022484408,31,352490,11370.65,250.61,34490,7981,600,1125
4388161847,31,335232,10813.94,260.19,25937,7110,631,718
3977333714,30,329537,10984.57,225.51,21226,5243,1838,567
6962181067,31,303639,9794.81,204.16,20532,7620,574,707
7007744171,26,294409,11323.42,208.4,27439,7299,423,807
7086361926,31,290525,9371.77,198.03,26364,4459,786,1320
8378563200,31,270249,8717.71,214.32,22200,4839,318,1819
5553957443,31,266990,8612.58,174.83,20719,6392,403,726
4702921684,31,265734,8572.06,215.61,23759,7362,807,159
5577150313,30,249133,8304.43,186.4,22633,4438,895,2620
4558609924,31,238239,7685.13,157.5,33902,8834,425,322
2873212765,31,234229,7555.77,158.15,34013,9548,190,437
4319703577,31,225334,7268.84,151.66,22810,7092,382,111
8583815059,31,223154,7198.52,174.08,39284,4287,688,300
1644430081,30,218489,7282.97,158.86,34856,5354,641,287
6117666160,28,197308,7046.71,149.58,22296,8074,57,44
1624580081,31,178061,5743.9,121.36,38990,4758,180,269
2026352035,31,172573,5566.87,107.1,21372,7956,8,3
2347167796,18,171354,9519.67,114.4,12369,4545,370,243
6290855005,29,163837,5649.55,123.9,34598,6596,110,80
4445114986,31,148693,4796.55,100.62,25727,6482,54,205
2320127002,31,146223,4716.87,98.82,37823,6144,80,42
3372868164,20,137233,6861.65,94.14,21551,6558,82,183
8253242879,19,123161,6482.16,88.68,24460,2221,272,390
1844505072,31,79982,2580.06,52.89,37405,3579,40,4
4020332650,31,70284,2267.23,50.41,38355,2385,166,161
6775888955,26,65512,2519.69,47.15,33785,1044,385,286
8792009665,29,53758,1853.72,34.41,30754,2662,117,28
1927972279,31,28400,916.13,19.67,40840,1196,24,41
4057192912,4,15352,3838.0,11.45,4869,412,6,3
