Id,sedentary_minutes,lightly_active_minutes,fairly_active_minutes,very_active_minutes,days_sleep_tracked
6962181067,20532,7620,574,707,31
5553957443,20719,6392,403,726,31
8378563200,22200,4839,318,1819,31
3977333714,21226,5243,1838,567,28
2026352035,21372,7956,8,3,28
4445114986,25727,6482,54,205,28
4702921684,23759,7362,807,159,27
4319703577,22810,7092,382,111,26
5577150313,22633,4438,895,2620,26
1503960366,26293,6818,594,1200,25
7086361926,26364,4459,786,1320,24
4388161847,25937,7110,631,718,23
6117666160,22296,8074,57,44,18
2347167796,12369,4545,370,243,15
8792009665,30754,2662,117,28,15
4020332650,38355,2385,166,161,8
1927972279,40840,1196,24,41,5
4558609924,33902,8834,425,322,5
1644430081,34856,5354,641,287,4
6775888955,33785,1044,385,286,3
1844505072,37405,3579,40,4,3
8053475328,35588,4680,297,2640,3
7007744171,27439,7299,423,807,2
2320127002,37823,6144,80,42,1
