Id,sum_total_steps,total_sleep
8053475328,457662,891
1503960366,375619,9007
4388161847,335232,9675
3977333714,329537,8222
6962181067,303639,13888
7007744171,294409,137
7086361926,290525,10875
8378563200,270249,14187
5553957443,266990,14368
4702921684,265734,11792
5577150313,249133,11232
4558609924,238239,638
4319703577,225334,12393
1644430081,218489,1176
6117666160,197308,8618
2026352035,172573,14173
2347167796,171354,6702
4445114986,148693,10785
2320127002,146223,61
1844505072,79982,1956
4020332650,70284,2795
6775888955,65512,1049
8792009665,53758,6535
1927972279,28400,2085
